"rgn_typ","ant_typ","rgn_id","ant_id","rgn_nam","rgn_key","are_km2"
"eez","eez","1","1","Cocos Islands","CCK",470116.600596
"land","land","1","1","Cocos Islands","CCK",17.9472400223
"eez","eez","10","10","Nauru","NRU",310565.147207
"land","land","10","10","Nauru","NRU",22.7855679787
"eez","eez","100","100","Republique du Congo","COG",39863.5968214
"land","land","100","100","Republique du Congo","COG",346305.364163
"eez","eez","101","101","Namibia","NAM",562727.622426
"land","land","101","101","Namibia","NAM",828331.405974
"eez","eez","102","102","South Africa","ZAF",1069377.88035
"land","land","102","102","South Africa","ZAF",1271944.79122
"eez","eez","103","103","Sao Tome and Principe","STP",131709.175374
"land","land","103","103","Sao Tome and Principe","STP",989.25974075
"eez","eez","104","104","Equatorial Guinea","GNQ",310365.413921
"land","land","104","104","Equatorial Guinea","GNQ",27174.9721328
"eez","eez","105","105","Bouvet Island","BVT",440224.320454
"land","land","105","105","Bouvet Island","BVT",50.6393477394
"eez","eez","106","106","Ghana","GHA",226758.07504
"land","land","106","106","Ghana","GHA",240231.325814
"eez","eez","107","107","Clipperton Island","CPT",433990.290769
"land","land","107","107","Clipperton Island","CPT",8.81211938204
"eez","eez","108","108","Bermuda","BMU",451643.081835
"land","land","108","108","Bermuda","BMU",72.4788317994
"eez","eez","11","11","Marshall Islands","MHL",2004592.5653
"land","land","11","11","Marshall Islands","MHL",281.932297214
"eez","eez","110","110","Bahamas","BHS",597705.143015
"land","land","110","110","Bahamas","BHS",13460.4989378
"eez","eez","111","111","Turks and Caicos Islands","TCA",154242.059356
"land","land","111","111","Turks and Caicos Islands","TCA",1018.17319406
"eez","eez","112","112","Cuba","CUB",365755.761919
"land","land","112","112","Cuba","CUB",111731.224124
"eez","eez","113","113","Cayman Islands","CYM",119605.46592
"land","land","113","113","Cayman Islands","CYM",289.26611003
"eez","eez","114","114","Haiti","HTI",123867.218828
"land","land","114","114","Haiti","HTI",27506.0564204
"eez","eez","115","115","Dominican Republic","DOM",270774.180101
"land","land","115","115","Dominican Republic","DOM",48398.9354107
"eez","eez","116","116","Puerto Rico and Virgin Islands of the United States","PRI-VIR",212193.329439
"land","land","116","116","Puerto Rico and Virgin Islands of the United States","PRI-VIR",9415.28657533
"eez","eez","117","117","British Virgin Islands","VGB",80529.499024
"land","land","117","117","British Virgin Islands","VGB",177.081875085
"eez","eez","118","118","Anguilla","AIA",92653.5871511
"land","land","118","118","Anguilla","AIA",85.5249840639
"eez","eez","119","119","Saint Kitts and Nevis","KNA",10262.9031435
"land","land","119","119","Saint Kitts and Nevis","KNA",270.824289494
"eez","eez","12","12","Wake Island","UMI",409374.31828
"land","land","12","12","Wake Island","UMI",8.71066771548
"eez","eez","120","120","Antigua and Barbuda","ATG",108492.416191
"land","land","120","120","Antigua and Barbuda","ATG",455.238277023
"eez","eez","121","121","Montserrat","MSR",7628.26523051
"land","land","121","121","Montserrat","MSR",100.663735081
"eez","eez","122","122","Saint Lucia","LCA",15560.3072657
"land","land","122","122","Saint Lucia","LCA",622.311325945
"eez","eez","123","123","Dominica","DMA",28749.1694931
"land","land","123","123","Dominica","DMA",766.227707646
"eez","eez","124","124","Barbados","BRB",185019.817783
"land","land","124","124","Barbados","BRB",444.068431474
"eez","eez","125","125","Grenada","GRD",26281.5066211
"land","land","125","125","Grenada","GRD",373.566407864
"eez","eez","126","126","Trinidad and Tobago","TTO",75798.4651196
"land","land","126","126","Trinidad and Tobago","TTO",5213.23648689
"eez","eez","127","127","Saint Vincent and the Grenadines","VCT",36510.9524175
"land","land","127","127","Saint Vincent and the Grenadines","VCT",409.907414935
"eez","eez","129","129","Panama","PAN",332643.54762
"land","land","129","129","Panama","PAN",75364.8114524
"eez","eez","13","13","Northern Mariana Islands and Guam","MNP",976202.871961
"land","land","13","13","Northern Mariana Islands and Guam","MNP",1062.46345167
"eez","eez","130","130","Costa Rica","CRI",576132.396748
"land","land","130","130","Costa Rica","CRI",51677.8473037
"eez","eez","131","131","Nicaragua","NIC",223935.236133
"land","land","131","131","Nicaragua","NIC",128905.84979
"eez","eez","132","132","Colombia","COL",730703.10229
"land","land","132","132","Colombia","COL",1144296.30223
"eez","eez","133","133","Honduras","HND",219971.148302
"land","land","133","133","Honduras","HND",113373.799548
"eez","eez","134","134","El Salvador","SLV",94238.049921
"land","land","134","134","El Salvador","SLV",20885.7424743
"eez","eez","135","135","Mexico","MEX",3284659.72318
"land","land","135","135","Mexico","MEX",1967245.20793
"eez","eez","136","136","Guatemala","GTM",118336.353605
"land","land","136","136","Guatemala","GTM",109803.150033
"eez","eez","137","137","Ecuador","ECU",1079918.44682
"land","land","137","137","Ecuador","ECU",257128.660004
"eez","eez","138","138","Peru","PER",838324.362495
"land","land","138","138","Peru","PER",1297181.73324
"eez","eez","139","139","Venezuela","VEN",473325.114899
"land","land","139","139","Venezuela","VEN",920283.390407
"eez","eez","14","14","Taiwan","TWN",342997.020084
"land","land","14","14","Taiwan","TWN",36246.8604094
"eez","eez","140","140","Guadeloupe and Martinique","GLP-MTQ",138683.404744
"land","land","140","140","Guadeloupe and Martinique","GLP-MTQ",2828.46583363
"eez","eez","141","141","Faeroe Islands","FRO",266720.483433
"land","land","141","141","Faeroe Islands","FRO",1450.64223109
"eez","eez","143","143","Iceland","ISL",752783.414734
"land","land","143","143","Iceland","ISL",102301.759214
"eez","eez","144","144","Jan Mayen","SJM",291233.691162
"land","land","144","144","Jan Mayen","SJM",369.601255151
"eez","eez","145","145","Greenland","GRL",2264464.44011
"land","land","145","145","Greenland","GRL",2154017.34037
"eez","eez","146","146","Pitcairn","PCN",839476.222788
"land","land","146","146","Pitcairn","PCN",45.5903198429
"eez","eez","147","147","French Polynesia","PYF",4795467.77549
"land","land","147","147","French Polynesia","PYF",3780.03896793
"eez","eez","148","148","Line Group","KIR",1655965.58357
"land","land","148","148","Line Group","KIR",620.342469752
"eez","eez","149","149","Jarvis Island","UMI",318799.103938
"land","land","149","149","Jarvis Island","UMI",4.41107191074
"eez","eez","15","15","Philippines","PHL",1835027.87937
"land","land","15","15","Philippines","PHL",298773.044181
"eez","eez","150","150","Palmyra Atoll","UMI",353242.059245
"land","land","150","150","Palmyra Atoll","UMI",337.7385071
"eez","eez","151","151","American Samoa","ASM",406815.936032
"land","land","151","151","American Samoa","ASM",210.584040407
"eez","eez","152","152","Samoa","WSM",132305.567661
"land","land","152","152","Samoa","WSM",2893.94499107
"eez","eez","153","153","Cook Islands","COK",1972842.71662
"land","land","153","153","Cook Islands","COK",258.141976938
"eez","eez","154","154","Niue","NIU",318243.753892
"land","land","154","154","Niue","NIU",267.759478268
"eez","eez","155","155","Tonga","TON",668054.123398
"land","land","155","155","Tonga","TON",766.489558335
"eez","eez","156","156","Tokelau","TKL",321242.329818
"land","land","156","156","Tokelau","TKL",15.1819006891
"eez","eez","157","157","Phoenix Group","KIR",748008.706042
"land","land","157","157","Phoenix Group","KIR",55.300681479
"eez","eez","158","158","Howland Island and Baker Island","UMI",437861.783601
"land","land","158","158","Howland Island and Baker Island","UMI",4.25558812754
"eez","eez","159","159","Johnston Atoll","UMI",445116.526912
"land","land","159","159","Johnston Atoll","UMI",3.42345544678
"eez","eez","16","16","Australia","AUS",6956845.81259
"land","land","16","16","Australia","AUS",7721726.06458
"eez","eez","161","161","Wallis and Futuna","WLF",262863.597187
"land","land","161","161","Wallis and Futuna","WLF",180.600237567
"eez","eez","162","162","New Zealand","NZL",4106953.90739
"land","land","162","162","New Zealand","NZL",269651.692678
"eez","eez","163","163","United States","USA",8591243.71191
"land","land","163","163","United States","USA",9487923.36012
"eez","eez","164","164","Belize","BLZ",36249.8346044
"land","land","164","164","Belize","BLZ",22150.9914463
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",18395.6397488
"land-disputed","land-disputed","255","255","DISPUTED","XD",2.13172987635
"eez","eez","166","166","Jamaica","JAM",246488.447711
"land","land","166","166","Jamaica","JAM",11058.9417048
"eez","eez","167","167","Guyana","GUY",136909.972094
"land","land","167","167","Guyana","GUY",212102.939632
"eez","eez","168","168","Suriname","SUR",128363.011782
"land","land","168","168","Suriname","SUR",146628.802338
"eez","eez","169","169","French Guiana","GUF",136563.775857
"land","land","169","169","French Guiana","GUF",83386.0751176
"eez","eez","17","17","Papua New Guinea","PNG",2407382.25276
"land","land","17","17","Papua New Guinea","PNG",467423.703261
"eez","eez","171","171","Brazil","BRA",3672584.29126
"land","land","171","171","Brazil","BRA",8527194.12256
"eez","eez","172","172","Argentina","ARG",1083150.52637
"land","land","172","172","Argentina","ARG",2788692.93524
"eez","eez","173","173","Uruguay","URY",130097.971095
"land","land","173","173","Uruguay","URY",178270.62352
"eez","eez","174","174","Finland","FIN",79467.828702
"land","land","174","174","Finland","FIN",338371.651976
"eez","eez","175","175","Denmark","DNK",100613.400453
"land","land","175","175","Denmark","DNK",44950.769697
"eez","eez","176","176","Germany","DEU",56357.9233539
"land","land","176","176","Germany","DEU",357274.104984
"eez","eez","177","177","Netherlands","NLD",64204.9916985
"land","land","177","177","Netherlands","NLD",35126.2486376
"eez","eez","178","178","Poland","POL",31945.6484321
"land","land","178","178","Poland","POL",311152.363859
"eez","eez","179","179","France","FRA",343866.251961
"land","land","179","179","France","FRA",548887.673673
"eez","eez","18","18","Fiji","FJI",1293035.66924
"land","land","18","18","Fiji","FJI",19154.9253856
"eez","eez","180","180","United Kingdom","GBR",723406.80786
"land","land","180","180","United Kingdom","GBR",246009.312219
"eez","eez","181","181","Ireland","IRL",426441.724536
"land","land","181","181","Ireland","IRL",70013.5953841
"eez","eez","182","182","Spain","ESP",555707.223459
"land","land","182","182","Spain","ESP",499269.441845
"eez","eez","183","183","Portugal","PRT",311717.992704
"land","land","183","183","Portugal","PRT",89024.4365524
"eez","eez","184","184","Italy","ITA",538881.000468
"land","land","184","184","Italy","ITA",301560.204037
"eez","eez","185","185","Monaco","MCO",284.331023168
"land","land","185","185","Monaco","MCO",11.217241685
"eez","eez","186","186","Montenegro","MNE",7459.24658513
"land","land","186","186","Montenegro","MNE",13844.390095
"eez","eez","187","187","Croatia","HRV",55462.3496455
"land","land","187","187","Croatia","HRV",56686.5316405
"eez","eez","188","188","Slovenia","SVN",186.313780278
"land","land","188","188","Slovenia","SVN",20425.4903382
"eez","eez","189","189","Lithuania","LTU",6125.64876457
"land","land","189","189","Lithuania","LTU",64842.6422805
"eez","eez","19","19","Tuvalu","TUV",751275.525556
"land","land","19","19","Tuvalu","TUV",41.7959499132
"eez","eez","190","190","Qatar","QAT",31987.676133
"land","land","190","190","Qatar","QAT",11156.4220437
"eez","eez","191","191","Iran","IRN",163764.703229
"eez-inland","eez-inland","191","191","Iran","IRN",61035.8692793
"land","land","191","191","Iran","IRN",1627927.17136
"eez","eez","192","192","Iraq","IRQ",595.827362512
"land","land","192","192","Iraq","IRQ",437494.733516
"eez","eez","193","193","Guinea Bissau","GNB",106506.62063
"land","land","193","193","Guinea Bissau","GNB",34067.7597725
"eez","eez","194","194","Guinea","GIN",110136.291533
"land","land","194","194","Guinea","GIN",246305.023823
"eez","eez","195","195","Ivory Coast","CIV",174842.242742
"land","land","195","195","Ivory Coast","CIV",324306.957592
"eez","eez","196","196","Nigeria","NGA",182874.660848
"land","land","196","196","Nigeria","NGA",914788.032313
"eez","eez","197","197","Cameroon","CMR",14704.2563269
"land","land","197","197","Cameroon","CMR",467631.170994
"eez","eez","198","198","Gabon","GAB",193292.328729
"land","land","198","198","Gabon","GAB",263930.188809
"eez","eez","199","199","Democratic Republic of the Congo","COD",13265.4038508
"land","land","199","199","Democratic Republic of the Congo","COD",2342411.56805
"eez","eez","2","2","Christmas Island","CXR",330035.519533
"land","land","2","2","Christmas Island","CXR",142.416607492
"eez","eez","20","20","South Korea","KOR",324993.775336
"land","land","20","20","South Korea","KOR",99590.70269
"eez","eez","200","200","Angola","AGO",493753.372908
"land","land","200","200","Angola","AGO",1254410.71553
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",34769.8121293
"eez","eez","202","202","Tanzania","TZA",243129.576634
"land","land","202","202","Tanzania","TZA",947304.67371
"eez","eez","203","203","India","IND",1637705.82252
"land","land","203","203","India","IND",3161443.05664
"eez","eez","204","204","Bangladesh","BGD",84563.2563621
"land","land","204","204","Bangladesh","BGD",139812.143646
"eez","eez","205","205","Myanmar","MMR",514147.233008
"land","land","205","205","Myanmar","MMR",674213.597623
"eez","eez","206","206","Malaysia","MYS",451796.70162
"land","land","206","206","Malaysia","MYS",331845.426077
"eez","eez","207","207","Vietnam","VNM",647232.077085
"land","land","207","207","Vietnam","VNM",329152.045726
"eez","eez","208","208","Singapore","SGP",762.687331733
"land","land","208","208","Singapore","SGP",604.644102308
"eez","eez","209","209","China","CHN",878363.96899
"land","land","209","209","China","CHN",9395292.98251
"eez","eez","21","21","North Korea","PRK",115967.30285
"land","land","21","21","North Korea","PRK",122346.320333
"eez","eez","210","210","Japan","JPN",4040612.34213
"land","land","210","210","Japan","JPN",374084.635914
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",83760.5785187
"eez","eez","212","212","Kiribati","KIR",1055117.01701
"land","land","212","212","Kiribati","KIR",356.910725703
"eez","eez","214","214","Egypt","EGY",236612.008503
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",25932.8904111
"land","land","214","214","Egypt","EGY",1002981.36001
"land-disputed","land-disputed","255","255","DISPUTED","XD",75.6408645063
"eez","eez","215","215","Jordan","JOR",93.6667025216
"land","land","215","215","Jordan","JOR",95371.7815888
"eez","eez","216","216","Indonesia","IDN",5947885.10452
"land","land","216","216","Indonesia","IDN",1906295.67277
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",73342.947842
"land-disputed","land-disputed","255","255","DISPUTED","XD",8.12467253228
"eez","eez","218","218","Canada","CAN",5698085.41588
"land","land","218","218","Canada","CAN",9955655.32807
"eez","eez","219","219","Saint Pierre and Miquelon","SPM",12367.3042162
"land","land","219","219","Saint Pierre and Miquelon","SPM",236.992308699
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",294652.904878
"land-disputed","land-disputed","255","255","DISPUTED","XD",12.6009471609
"eez","eez","220","220","Sint Maarten","SXM",497.50356338
"land","land","220","220","Sint Maarten","SXM",40.0970052217
"eez","eez","221","221","Northern Saint-Martin","MAF",5386.64764732
"land","land","221","221","Northern Saint-Martin","MAF",81.0469148525
"eez","eez","222","222","Sweden","SWE",154980.513265
"land","land","222","222","Sweden","SWE",449618.086724
"eez","eez","223","223","Norway","NOR",1716658.86486
"land","land","223","223","Norway","NOR",394617.770157
"eez","eez","224","224","Chile","CHL",3657312.86523
"land","land","224","224","Chile","CHL",756842.355857
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",66490.1107435
"land-disputed","land-disputed","255","255","DISPUTED","XD",0.159295238957
"eez","eez","227","227","Jersey","JEY",2962.10397851
"land","land","227","227","Jersey","JEY",125.218656981
"eez","eez","228","228","Guernsey","GGY",8672.6488605
"land","land","228","228","Guernsey","GGY",85.5614609696
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",441711.177374
"land-disputed","land-disputed","255","255","DISPUTED","XD",21.8698333551
"eez","eez","231","231","East Timor","TLS",40225.6748096
