"NAME_EN","ID_mrgd","nm_mrgd","continent","fao_official","Country_FAO","figure_name"
"Pacific, Northeast",67,"Pacific",NA,NA,NA,NA
"Atlantic, Northeast",27,"Atlantic",NA,NA,NA,NA
"Atlantic, Eastern Central",34,"Atlantic",NA,NA,NA,NA
"Atlantic, Northwest",21,"Atlantic",NA,NA,NA,NA
"Pacific, Northwest",61,"Pacific",NA,NA,NA,NA
"Indian Ocean, Western",51,"Indian",NA,NA,NA,NA
"Indian Ocean, Eastern",57,"Indian",NA,NA,NA,NA
"Pacific, Western Central",71,"Pacific",NA,NA,NA,NA
"Pacific, Southwest",81,"Pacific",NA,NA,NA,NA
"Indian Ocean, Antarctic",58,"Southern Ocean",NA,NA,NA,NA
"Atlantic, Antarctic",48,"Southern Ocean",NA,NA,NA,NA
"Pacific, Antarctic",88,"Southern Ocean",NA,NA,NA,NA
"Pacific, Eastern Central",77,"Pacific",NA,NA,NA,NA
"Atlantic, Southeast",47,"Atlantic",NA,NA,NA,NA
"Arctic Sea",18,"Arctic",NA,NA,NA,NA
"Atlantic, Southwest",41,"Atlantic",NA,NA,NA,NA
"Atlantic, Western Central",31,"Atlantic",NA,NA,NA,NA
"Pacific, Southeast",87,"Pacific",NA,NA,NA,NA
NA,8444,"American Samoa Exclusive Economic Zone","Oceania","American Samoa","the United States of America","American Samoa"
NA,8379,"Ascension Exclusive Economic Zone","Africa","Ascension",NA,"Ascension"
NA,8446,"Cook Islands Exclusive Economic Zone","Oceania","the Cook Islands","New Zealand","Cook Islands"
NA,8389,"Overlapping claim Falkland / Malvinas Islands: UK / Argentina","Americas",NA,NA,NA
NA,8440,"French Polynesian Exclusive Economic Zone","Oceania","French Polynesia","the French Republic","French Polynesia"
NA,8439,"Pitcairn Islands Exclusive Economic Zone","Oceania","Pitcairn",NA,"Pitcairn"
NA,8380,"St. Helena Exclusive Economic Zone","Africa","Saint Helena",NA,"Saint Helena"
NA,8445,"Samoan Exclusive Economic Zone","Oceania","the Independent State of Samoa","the Independent State of Samoa","Samoa"
NA,8448,"Tongan Exclusive Economic Zone","Oceania","the Kingdom of Tonga","the Kingdom of Tonga","Tonga"
NA,8382,"Tristan Da Cunha Exclusive Economic Zone","Africa","Tristan da Cunha",NA,"Tristan da Cunha"
NA,8465,"Chilean Exclusive Economic Zone","Americas","the Republic of Chile","the Republic of Chile","Chile"
NA,8447,"Niue Exclusive Economic Zone","Oceania","Niue",NA,"Niue"
NA,48961,"Joint regime area Argentina / Uruguay","Americas",NA,NA,NA
NA,48962,"Joint regime area Peru / Ecuador","Americas",NA,NA,NA
NA,8467,"Uruguayan Exclusive Economic Zone","Americas","the Eastern Republic of Uruguay","the Eastern Republic of Uruguay","Uruguay"
NA,8449,"Tokelau Exclusive Economic Zone","Oceania","Tokelau","New Zealand","Tokelau"
NA,8432,"Peruvian Exclusive Economic Zone","Americas","the Republic of Peru","the Republic of Peru","Peru"
NA,22756,"Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)","Americas","the Republic of Chile (San Felix and San Ambrosio islands)","the Republic of Chile","Chile (San Felix and San Ambrosio islands)"
NA,21787,"Chilean Exclusive Economic Zone (Easter Island)","Americas","the Republic of Chile (Easter Island)","the Republic of Chile","Chile (Easter Island)"
NA,8381,"Brazilian Exclusive Economic Zone (Trindade)","Americas","the Federative Republic of Brazil (Trindade)","the Federative Republic of Brazil","Brazil (Trindade)"
NA,8450,"Kiribati Exclusive Economic Zone (Phoenix Islands)","Oceania","the Republic of Kiribati (Phoenix Islands)","the Republic of Kiribati","Kiribati (Phoenix Islands)"
NA,8466,"Argentinean Exclusive Economic Zone","Americas","the Argentine Republic","the Argentine Republic","Argentina"
NA,8386,"Amsterdam Island & St. Paul Island Exclusive Economic Zone","Africa",NA,NA,NA
NA,8309,"Christmas Island Exclusive Economic Zone","Oceania","Christmas Island","Australia","Christmas Island"
NA,8308,"Cocos Islands Exclusive Economic Zone","Oceania","the Cocos (Keeling) Islands",NA,"Cocos (Keeling) Islands"
NA,8334,"Comoran Exclusive Economic Zone","Africa","the Union of the Comoros","the Republic of Colombia","Comoros"
NA,8385,"Crozet Islands Exclusive Economic Zone","Africa",NA,NA,NA
NA,48944,"Overlapping claim Mayotte: France / Comoros","Africa",NA,NA,NA
NA,48946,"Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus","Africa",NA,NA,NA
NA,8388,"Heard and McDonald Islands Exclusive Economic Zone","Oceania","Heard Island and McDonald Islands",NA,"Heard Island and McDonald Islands"
NA,8387,"Kerguelen Exclusive Economic Zone","Africa","the Kerguelen Islands",NA,"Kerguelen Islands"
NA,8348,"Madagascan Exclusive Economic Zone","Africa","the Republic of Madagascar","the Republic of Madagascar","Madagascar"
NA,8396,"South African Exclusive Economic Zone","Africa","the Republic of South Africa","the Republic of South Africa","South Africa"
NA,8312,"New Caledonian Exclusive Economic Zone","Oceania","New Caledonia","the French Republic","New Caledonia"
NA,8310,"Norfolk Island Exclusive Economic Zone","Oceania","Norfolk Island",NA,"Norfolk Island"
NA,8343,"Mauritian Exclusive Economic Zone","Africa","the Republic of Mauritius","the Republic of Mauritius","Mauritius"
NA,8338,"Réunion Exclusive Economic Zone","Africa","Réunion",NA,"Réunion"
NA,8313,"Vanuatu Exclusive Economic Zone","Oceania","the Republic of Vanuatu","the Republic of Vanuatu","Vanuatu"
NA,8395,"Namibian Exclusive Economic Zone","Africa","the Republic of Namibia","the Republic of Namibia","Namibia"
NA,21791,"Oecussi Ambeno Exclusive Economic Zone","Asia",NA,NA,NA
NA,8394,"Congolese Exclusive Economic Zone","Africa","the Republic of the Congo","the Republic of the Congo","Congo"
NA,8478,"Angolan Exclusive Economic Zone","Africa","the Republic of Angola","the Republic of Angola","Angola"
NA,8347,"Mozambican Exclusive Economic Zone","Africa","the Republic of Mozambique","the Republic of Mozambique","Mozambique"
NA,8349,"Kenyan Exclusive Economic Zone","Africa","the Republic of Kenya","the Republic of Kenya","Kenya"
NA,21798,"Protected Zone established under the Torres Strait Treaty","Oceania",NA,NA,NA
NA,8384,"South African Exclusive Economic Zone (Prince Edward Islands)","Africa","Prince Edward Island",NA,"Prince Edward Island"
NA,8479,"Tanzanian Exclusive Economic Zone","Africa","the United Republic of Tanzania","the United Republic of Tanzania","United Republic of Tanzania"
NA,8314,"Solomon Islands Exclusive Economic Zone","Oceania","Solomon Islands","Solomon Islands","Solomon Islands"
NA,8337,"Seychellois Exclusive Economic Zone","Africa","the Republic of Seychelles","the Republic of Seychelles","Seychelles"
NA,48945,"Overlapping claim Glorioso Islands: France / Madagascar","Africa",NA,NA,NA
NA,8341,"Ile Europa Exclusive Economic Zone","Africa",NA,NA,NA
NA,48948,"Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu","Oceania",NA,NA,NA
NA,8477,"Democratic Republic of the Congo Exclusive Economic Zone","Africa","the Democratic Republic of the Congo","the Democratic Republic of the Congo","Democratic Republic of the Congo"
NA,8323,"Australian Exclusive Economic Zone","Oceania","Australia","Australia","Australia"
NA,8311,"Australian Exclusive Economic Zone (Macquarie Island)","Oceania","Australia (Macquarie Island)","Australia","Australia (Macquarie Island)"
NA,8339,"Juan de Nova Exclusive Economic Zone","Africa","Juan de Nova Island",NA,"Juan de Nova Island"
NA,8340,"Bassas da India Exclusive Economic Zone","Africa","Bassas da India",NA,"Bassas da India"
NA,33176,"Overlapping claim: Kenya / Somalia","Africa",NA,NA,NA
NA,8758,"East Timorian Exclusive Economic Zone","Asia","the Democratic Republic of Timor-Leste","the Democratic Republic of Timor-Leste","Timor-Leste"
NA,8412,"Anguilla Exclusive Economic Zone","Americas","Anguilla","the United Kingdom of Great Britain and Northern Ireland","Anguilla"
NA,8414,"Antigua and Barbuda Exclusive Economic Zone","Americas","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda"
NA,26519,"Aruban Exclusive Economic Zone","Americas","Aruba","the Kingdom of the Netherlands","Aruba"
NA,8361,"Portuguese Exclusive Economic Zone (Azores)","Europe","the Portuguese Republic (Azores Islands)","the Portuguese Republic","Portugal (Azores Islands)"
NA,8404,"Bahamas Exclusive Economic Zone","Americas","the Commonwealth of the Bahamas","the Commonwealth of the Bahamas","Bahamas"
NA,8418,"Barbados Exclusive Economic Zone","Americas","Barbados","Barbados","Barbados"
NA,8429,"Mexican Exclusive Economic Zone","Americas","the United Mexican States","the United Mexican States","Mexico"
NA,26520,"Bonaire Exclusive Economic Zone","Americas","Bonaire","the Kingdom of the Netherlands","Bonaire"
NA,8411,"British Virgin Islands Exclusive Economic Zone","Americas","the British Virgin Islands",NA,"British Virgin Islands"
NA,8362,"Cape Verdean Exclusive Economic Zone","Africa","the Republic of Cabo Verde",NA,"Cabo Verde"
NA,8364,"Spanish Exclusive Economic Zone (Canary Islands)","Europe","the Canary Islands","the Kingdom of Spain","Canary Islands"
NA,8407,"Cayman Islands Exclusive Economic Zone","Americas","the Cayman Islands",NA,"Cayman Islands"
NA,8401,"Clipperton Exclusive Economic Zone","Oceania","Clipperton Island","the French Republic","Clipperton Island"
NA,8423,"Panamanian Exclusive Economic Zone","Americas","the Republic of Panama","the Republic of Panama","Panama"
NA,8424,"Costa Rican Exclusive Economic Zone","Americas","the Republic of Costa Rica","the Republic of Costa Rica","Costa Rica"
NA,26517,"Curaçaoan Exclusive Economic Zone","Americas","Curaçao",NA,"Curaçao"
NA,8417,"Dominican Exclusive Economic Zone","Americas","the Commonwealth of Dominica","the Commonwealth of Dominica","Dominica"
NA,8409,"Dominican Republic Exclusive Economic Zone","Americas","the Dominican Republic","the Dominican Republic","Dominican Republic"
NA,8430,"Guatemalan Exclusive Economic Zone","Americas","the Republic of Guatemala","the Republic of Guatemala","Guatemala"
NA,8435,"Faeroe Exclusive Economic Zone","Europe","the Faroe Islands",NA,"Faroe Islands"
NA,8370,"Gambian Exclusive Economic Zone","Africa","the Republic of the Gambia","the Republic of the Gambia","Gambia"
NA,8365,"Overlapping claim Gibraltarian Exclusive Economic Zone","Oceania",NA,NA,NA
NA,8419,"Grenadian Exclusive Economic Zone","Americas","Grenada","Grenada","Grenada"
NA,33177,"Guadeloupean Exclusive Economic Zone","Americas","Guadeloupe","the French Republic","Guadeloupe"
NA,8390,"Sierra Leonian Exclusive Economic Zone","Africa","the Republic of Sierra Leone","the Republic of Sierra Leone","Sierra Leone"
NA,5680,"Icelandic Exclusive Economic Zone","Europe","Iceland","Iceland","Iceland"
NA,8459,"Jamaican Exclusive Economic Zone","Americas","Jamaica","Jamaica","Jamaica"
NA,8363,"Portuguese Exclusive Economic Zone (Madeira)","Europe","the Madeira Islands","the Portuguese Republic","Madeira Islands"
NA,8369,"Mauritanian Exclusive Economic Zone","Africa","the Islamic Republic of Mauritania","the Islamic Republic of Mauritania","Mauritania"
NA,8415,"Montserrat Exclusive Economic Zone","Americas","Montserrat","the United Kingdom of Great Britain and Northern Ireland","Montserrat"
NA,48951,"Overlapping claim Navassa Island: USA / Haiti / Jamaica","Americas",NA,NA,NA
NA,8443,"Palmyra Atoll Exclusive Economic Zone","Oceania","Palmyra Atoll","the United States of America","Palmyra Atoll"
NA,33179,"Puerto Rican Exclusive Economic Zone","Americas","the Commonwealth of Puerto Rico",NA,"Puerto Rico"
NA,26518,"Saba Exclusive Economic Zone","Americas","Saba","the Kingdom of the Netherlands","Saba"
NA,48952,"Saint-Barthélemy Exclusive Economic Zone","Americas","Saint Barthélemy",NA,"Saint Barthélemy"
NA,26526,"Sint-Eustatius Exclusive Economic Zone","Americas","Sint Eustatius","the Kingdom of the Netherlands","Sint Eustatius"
NA,8413,"Saint Kitts and Nevis Exclusive Economic Zone","Americas","Saint Kitts and Nevis","Saint Kitts and Nevis","Saint Kitts and Nevis"
NA,8416,"Saint Lucia Exclusive Economic Zone","Americas","Saint Lucia","Saint Lucia","Saint Lucia"
NA,8495,"Saint-Martin Exclusive Economic Zone","Americas","Saint Martin (French part)",NA,"Saint Martin (French part)"
NA,8494,"Saint-Pierre and Miquelon Exclusive Economic Zone","Americas","Saint Pierre and Miquelon","the French Republic","Saint Pierre and Miquelon"
NA,8421,"Saint Vincent and the Grenadines Exclusive Economic Zone","Americas","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines"
NA,21803,"Sint-Maarten Exclusive Economic Zone","Americas","Sint Maarten (Dutch part)",NA,"Sint Maarten (Dutch part)"
NA,8420,"Trinidad and Tobago Exclusive Economic Zone","Americas","the Republic of Trinidad and Tobago","the Republic of Trinidad and Tobago","Trinidad and Tobago"
NA,8405,"Turks and Caicos Exclusive Economic Zone","Americas","the Turks and Caicos Islands",NA,"Turks and Caicos Islands"
NA,33180,"Virgin Islander Exclusive Economic Zone","Americas","the United States Virgin Islands","the United States of America","United States Virgin Islands"
NA,5688,"Portuguese Exclusive Economic Zone","Europe","the Portuguese Republic","the Portuguese Republic","Portugal"
NA,8428,"El Salvador Exclusive Economic Zone","Americas","the Republic of El Salvador","the Republic of El Salvador","El Salvador"
NA,8457,"Belizean Exclusive Economic Zone","Americas","Belize","Belize","Belize"
NA,8406,"Cuban Exclusive Economic Zone","Americas","the Republic of Cuba","the Republic of Cuba","Cuba"
NA,8408,"Haitian Exclusive Economic Zone","Americas","the Republic of Haiti","the Republic of Haiti","Haiti"
NA,33178,"Martinican Exclusive Economic Zone","Americas","Martinique","the French Republic","Martinique"
NA,48964,"Joint regime area Senegal / Guinea Bissau","Africa",NA,NA,NA
NA,48965,"Overlapping claim: Venezuela / Aruba / Dominican Republic","Americas",NA,NA,NA
NA,48966,"Joint regime area Spain / France","Europe",NA,NA,NA
NA,48967,"Joint regime area United Kingdom / Denmark (Faeroe Islands)","Europe",NA,NA,NA
NA,48943,"Overlapping claim: Canada / USA","Americas",NA,NA,NA
NA,48968,"Joint regime area Costa Rica / Ecuador (Galapagos)","Americas",NA,NA,NA
NA,8425,"Nicaraguan Exclusive Economic Zone","Americas","the Republic of Nicaragua","the Republic of Nicaragua","Nicaragua"
NA,8460,"Guyanese Exclusive Economic Zone","Americas","the Co-operative Republic of Guyana","the Co-operative Republic of Guyana","Guyana"
NA,48969,"Joint regime area Guyana / Barbados","Americas",NA,NA,NA
NA,48970,"Joint regime area Colombia / Dominican Republic","Americas",NA,NA,NA
NA,48971,"Overlapping claim: Venezuela / Colombia / Dominican Republic","Americas",NA,NA,NA
NA,5681,"Irish Exclusive Economic Zone","Europe","Ireland","Ireland","Ireland"
NA,21788,"Guernsey Exclusive Economic Zone","Europe","the Bailiwick of Guernsey",NA,"Guernsey"
NA,21789,"Jersey Exclusive Economic Zone","Europe","the Bailiwick of Jersey",NA,"Jersey"
NA,8371,"Senegalese Exclusive Economic Zone","Africa","the Republic of Senegal","the Republic of Senegal","Senegal"
NA,8471,"Guinea Bissau Exclusive Economic Zone","Africa","the Republic of Guinea-Bissau","the Republic of Guinea-Bissau","Guinea-Bissau"
NA,8472,"Guinean Exclusive Economic Zone","Africa","the Republic of Guinea","the Republic of Guinea","Guinea"
NA,8473,"Ivory Coast Exclusive Economic Zone","Africa","the Republic of Côte d'Ivoire",NA,"Côte d'Ivoire"
NA,33185,"Overlapping claim: Trinidad and Tobago / Venezuela / Guyana","Americas",NA,NA,NA
NA,8391,"Liberian Exclusive Economic Zone","Africa","the Republic of Liberia","the Republic of Liberia","Liberia"
NA,21792,"Joint regime area Colombia / Jamaica","Americas",NA,NA,NA
NA,48972,"Joint regime area Honduras / Cayman Islands","Americas",NA,NA,NA
NA,48973,"Joint regime area Iceland / Denmark (Faeroe Islands)","Europe",NA,NA,NA
NA,8433,"Venezuelan Exclusive Economic Zone","Americas","the Bolivarian Republic of Venezuela","the Bolivarian Republic of Venezuela","Venezuela (Bolivarian Republic of)"
NA,8427,"Honduran Exclusive Economic Zone","Americas","the Republic of Honduras","the Republic of Honduras","Honduras"
NA,48974,"Joint regime area Ecuador / Colombia","Americas",NA,NA,NA
NA,48975,"Joint regime area Iceland / Norway (Jan Mayen)","Europe",NA,NA,NA
NA,8493,"Canadian Exclusive Economic Zone","Americas","Canada","Canada","Canada"
NA,8368,"Overlapping claim Western Saharan Exclusive Economic Zone","Africa",NA,NA,NA
